sentence1,sentence2,similarity
Landgut soll zum Nachlassobjekt werden.,Bei der Auseinandersetzung wird jedem Miterben der Wert der Zuwendung die er zur Ausgleichung zu bringen hat auf seinen Erbteil angerechnet. Der Wert der sämtlichen Zuwendungen die zur Ausgleichung zu bringen sind wird dem Nachlass hinzugerechnet soweit dieser den Miterben zukommt unter denen die Ausgleichung stattfindet. Der Wert bestimmt sich nach der Zeit zu der die Zuwendung erfolgt ist.,widerspruch
"Jeder Gegenstand, der für die Untersuchung von Bedeutung ist, muss in Sicherheit gebracht werden oder in anderer Weise geschützt werden.","Ist gegen den Festgenommenen bereits die öffentliche Klage erhoben, so ist er entweder sofort oder auf Verfügung des Richters, dem er zunächst vorgeführt worden ist, dem zuständigen Gericht vorzuführen; dieses hat spätestens am Tage nach der Festnahme über Freilassung, Verhaftung oder einstweilige Unterbringung des Festgenommenen zu entscheiden.",widerspruch
Rechtsverordnungen durchführen Bundesministerium des Innern.,Rechtsverordnungen nach diesem Gesetz bedürfen nicht der Zustimmung des Bundesrates. Die zur Durchführung dieses Gesetzes und der auf Grund dieses Gesetzes erlassenen Rechtsverordnungen erforderlichen allgemeinen Verwaltungsvorschriften erlässt das Bundesministerium des Innern soweit dieses Gesetz nichts anderes bestimmt.,perfekt
"Wer zur Absicht hat, sich oder einen anderen zu bereichern oder Schaden anzurichten, begeht eine vorsätzliche Handlung gegen Entgelt oder verstößt damit gegen die Rechte anderer und wird mit Freiheitsstrafe bis zu 2 Jahren oder mit Geldstrafe bestraft. Die Tat wird nur auf Antrag verfolgt. Antragsberechtigt sind der Betroffene die ver",Waldungen und Gehölze längs der Bundesfernstraßen können von der Straßenbaubehörde im Einvernehmen mit der nach Landesrecht für Schutzwaldungen zuständigen Behörde in einer Breite von 40 Meter gemessen vom äußeren Rand der befestigten Fahrbahn zu Schutzwaldungen erklärt werden. Die Schutzwaldungen sind vom Eigentümer oder Nutznießer zu erhalten und ordnungsgemäß zu unterhalten. Die Aufsicht hierüber liegt der nach Landesrecht für Schutzwaldungen zuständigen Behörde ob.,widerspruch
"Die Ausbildungsbetriebe sind verpflichtet, nach § 1 Nummer 2 bis 5 der Flugsimulationsübungsgeräte die Bestimmungen des Anhangs VI der Verordnung (EU) Nr. 1178/2011 anzuwenden.",Ein Luftsportgeräteführer darf ein Luftsportgerät in dem sich Fluggäste befinden als verantwortlicher Luftsportgeräteführer nur führen wenn er innerhalb der vorhergehenden 90 Tage mindestens drei Starts und drei Landungen mit einem Luftsportgerät derselben Art ausgeführt hat. Für Sprungfallschirmführer gilt Satz 1 mit der Maßgabe dass Sprungfallschirmführer mindestens zehn Fallschirmsprünge durchgeführt haben müssen.,widerspruch
Versäumnisurteile können nicht angefochten werden.,Ein Versäumnisurteil kann von der Partei gegen die es erlassen ist mit der Berufung oder Anschlussberufung nicht angefochten werden. Ein Versäumnisurteil gegen das der Einspruch an sich nicht statthaft ist unterliegt der Berufung oder Anschlussberufung insoweit als sie darauf gestützt wird dass der Fall der schuldhaften Versäumung nicht vorgelegen habe. § 511 Abs. 2 ist nicht anzuwenden.,perfekt
Ehegatten regeln die Haushaltsführung im gegenseitigen Einvernehmen.,Die Ehegatten regeln die Haushaltsführung im gegenseitigen Einvernehmen. Ist die Haushaltsführung einem der Ehegatten überlassen so leitet dieser den Haushalt in eigener Verantwortung. Beide Ehegatten sind berechtigt erwerbstätig zu sein. Bei der Wahl und Ausübung einer Erwerbstätigkeit haben sie auf die Belange des anderen Ehegatten und der Familie die gebotene Rücksicht zu nehmen.,perfekt
"Wenn das Miet- oder Pachtverhältnis bei dem Eintritt der Nacherbfolge noch besteht, findet die Vorschrift des § 1056 entsprechende Anwendung.",Hat der Vorerbe ein zur Erbschaft gehörendes Grundstück oder eingetragenes Schiff vermietet oder verpachtet so findet wenn das Miet- oder Pachtverhältnis bei dem Eintritt der Nacherbfolge noch besteht die Vorschrift des § 1056 entsprechende Anwendung.,perfekt
Patentamt kann Antrag auf nachträgliche Schutzerstreckung einer international registrierten Marke nach Artikel 3(hoch)ter Abs. 2 des Madrider Markenabkommens stellen. Die nationale Gebühr nach dem Patentkostengesetz für die nachträgliche Schutzerstreckung ist innerhalb eines Monats nach Fälligkeit (§ 3 Abs. 1 des Patentkostengesetzes) zu zahlen.,Beim Patentamt kann ein Antrag auf nachträgliche Schutzerstreckung einer international registrierten Marke nach Artikel 3(hoch)ter Abs. 2 des Madrider Markenabkommens gestellt werden. Die nationale Gebühr nach dem Patentkostengesetz für die nachträgliche Schutzerstreckung ist innerhalb eines Monats nach Fälligkeit (§ 3 Abs. 1 des Patentkostengesetzes) zu zahlen.,perfekt
"Beamte, die das Recht der Exterritorialität genießen, und Deutsche, die im Ausland angestellt sind, behalten den Wohnsitz, den sie im Inland hatten. Wenn sie keinen Wohnsitz hatten, so gilt der Sitz der Bundesregierung als ihr Wohnsitz. Auf Wahlkonsuln sind diese Vorschriften nicht anzuwenden.","Eine Frist, die nach Wochen oder Monaten bestimmt ist, endet mit Ablauf des Tages der letzten Woche oder des letzten Monats, der durch seine Benennung oder Zahl dem Tag entspricht, an dem die Frist begonnen hat; fehlt dieser Tag in dem letzten Monat, so endet die Frist mit dem Ablauf des letzten Tages dieses Monats. Fällt das Ende einer Frist auf einen Sonntag, einen allgemeinen Feiertag oder einen Sonnabend, so endet die Frist mit Ablauf des nächsten Werktages.",widerspruch
"Derjenige, der die Berichtigung des Grundbuchs verlangen will, kann vom Besitzer des Briefes verlangen, dass der Brief dem Grundbuchamt vorgelegt wird.",Ist zur Berichtigung des Grundbuchs die Vorlegung eines Hypotheken- Grundschuld- oder Rentenschuldbriefs erforderlich so kann derjenige zu dessen Gunsten die Berichtigung erfolgen soll von dem Besitzer des Briefes verlangen dass der Brief dem Grundbuchamt vorgelegt wird.,perfekt
"Gericht ist zuständig für die Ausstellung von Bestätigung. Schuldner ist anzuhören. Wird der Antrag auf Ausstellung einer Bestätigung zurückgewiesen, so sind die Vorschriften über die Anfechtung der Entscheidung über die Erteilung einer Vollstreckungsklausel entsprechend anzuwenden.",Für die Ausstellung der Bestätigung nach Artikel 20 Abs. 2 der Verordnung (EG) Nr. 861/2007 ist das Gericht zuständig dem die Erteilung einer vollstreckbaren Ausfertigung des Titels obliegt. Vor Ausfertigung der Bestätigung ist der Schuldner anzuhören. Wird der Antrag auf Ausstellung einer Bestätigung zurückgewiesen so sind die Vorschriften über die Anfechtung der Entscheidung über die Erteilung einer Vollstreckungsklausel entsprechend anzuwenden.,perfekt
"Eine Beamtin oder ein Beamter kann bestimmte Führung der Dienstgeschäfte verboten werden. Das Verbot erlischt, wenn nicht bis zum Ablauf von drei Monaten gegen die Beamtin oder den Beamten ein Disziplinarverfahren oder ein sonstiges auf Rücknahme der Ernennung oder auf Beendigung des Beamtenverhältnisses gerichtetes Verfahren e",Unter den Voraussetzungen des § 92a Absatz 1 wird auf Antrag für längstens sechs Monate Teilzeitbeschäftigung mit einer regelmäßigen wöchentlichen Arbeitszeit von weniger als 15 Stunden oder Urlaub ohne Besoldung als Pflegezeit bewilligt. Ist die Pflegezeit für weniger als sechs Monate bewilligt worden kann sie nachträglich bis zur Dauer von sechs Monaten verlängert werden. § 92 Absatz 5 und § 92a Absatz 3 bis 6 gelten entsprechend.,widerspruch
"Die Ehe darf nicht geschieden werden, solange es notwendig ist, die Aufrechterhaltung der Ehe zu gewährleisten oder wenn und solange die Scheidung für den Antragsteller eine so schwere Härte darstellen würde, dass sie auch unter Berücksichtigung der Belange des Antragstellers ausnahmsweise geboten erscheint.",Wegen eines Sonderbedarfs (§ 1613 Abs. 2) kann der Berechtigte Unterhalt für die Vergangenheit verlangen. Im Übrigen kann der Berechtigte für die Vergangenheit Erfüllung oder Schadensersatz wegen Nichterfüllung nur entsprechend § 1613 Abs. 1 fordern. Für eine mehr als ein Jahr vor der Rechtshängigkeit liegende Zeit kann Erfüllung oder Schadensersatz wegen Nichterfüllung nur verlangt werden wenn anzunehmen ist dass der Verpflichtete sich der Leistung absichtlich entzogen hat.,widerspruch
"Revisionsgericht weist die zugelassene Revision zurück, wenn es davon überzeugt ist, dass die Voraussetzungen für die Zulassung der Revision nicht vorliegen und die Revision keine Aussicht auf Erfolg hat.",Das Revisionsgericht weist die von dem Berufungsgericht zugelassene Revision durch einstimmigen Beschluss zurück wenn es davon überzeugt ist dass die Voraussetzungen für die Zulassung der Revision nicht vorliegen und die Revision keine Aussicht auf Erfolg hat. § 522 Abs. 2 Satz 2 und 3 gilt entsprechend.,perfekt
"Der Erbe kann die ihm gegen den Erblasser zustehenden Ansprüche geltend machen. Er tritt soweit nicht die Erfüllung nach § 1979 des Bürgerlichen Gesetzbuchs als für Rechnung des Nachlasses erfolgt gilt, so tritt an die Stelle des Gläubigers derjenige, der die Nachlaßverbindlichkeiten erfüllt hat.",Ist im Inland zur Erfüllung einer Verbindlichkeit an den Schuldner geleistet worden obwohl die Verbindlichkeit zur Insolvenzmasse des ausländischen Insolvenzverfahrens zu erfüllen war so wird der Leistende befreit wenn er zur Zeit der Leistung die Eröffnung des Verfahrens nicht kannte. Hat er vor der öffentlichen Bekanntmachung nach § 345 geleistet so wird vermutet dass er die Eröffnung nicht kannte.,widerspruch
"Geschlecht, Rasse, ethnische Herkunft, Behinderung, Religion, politische Anschauungen, Herkunft, Beziehungen, sexuelle Identität sind keine ausschlaggebenden Faktoren bei der Auswahl von Bewerberinnen und Bewerbern. Die Auswahl richtet sich nach Eignung und fachlicher Leistung.",Die Bundesregierung wird ermächtigt durch Rechtsverordnung nach Maßgabe der §§ 16 bis 25 1.allgemeine Vorschriften über die Laufbahnen und Vorbereitungsdienste der Beamtinnen und Beamten und2.besondere Vorschriften für die einzelnen Laufbahnen und Vorbereitungsdienstezu erlassen. Die Bundesregierung kann die Befugnis nach Absatz 1 Nr. 2 durch Rechtsverordnung obersten Dienstbehörden übertragen.,widerspruch
